,IdVenta,Fecha,Fecha_Entrega,IdCanal,IdCliente,IdSucursal,IdEmpleado,IdProducto,Precio,Cantidad
71,72,2018-08-22,2018-09-01,1,1185,13,1674,42779,9555.04,
85,86,2015-03-17,2015-03-20,3,3159,13,1674,42839,,2.0
104,105,2017-10-28,2017-11-02,3,1107,13,1674,42822,816.86,
113,114,2018-10-08,2018-10-13,3,1868,13,1674,42820,,3.0
153,154,2019-01-17,2019-01-21,3,1416,13,1674,42927,91.0,
180,181,2016-11-03,2016-11-08,3,102,13,1674,42964,,3.0
182,183,2016-11-28,2016-12-03,1,1426,13,1674,43016,454.0,
189,190,2017-10-03,2017-10-04,2,908,13,1674,42977,111.0,
199,200,2019-07-10,2019-07-15,1,564,13,1674,43012,,3.0
206,207,2020-02-03,2020-02-08,2,3053,13,1674,42963,2355.0,
223,224,2020-03-24,2020-03-29,2,3011,13,1674,43029,,2.0
228,229,2020-02-18,2020-02-21,1,1879,13,1674,42846,2846.58,
377,378,2016-11-23,2016-12-01,1,3172,13,1516,42948,,2.0
506,507,2015-06-09,2015-06-14,3,1088,13,1330,42800,,3.0
512,513,2016-08-12,2016-08-16,2,1719,13,1330,42774,6048.9,
520,521,2017-10-07,2017-10-12,1,1103,13,1330,42782,3373.92,
537,538,2019-10-05,2019-10-12,2,1597,13,1330,42770,3597.22,
540,541,2019-12-19,2019-12-26,2,1788,13,1330,42799,,2.0
570,571,2018-01-08,2018-01-09,3,741,13,1330,42862,512.0,
619,620,2017-09-14,2017-09-18,3,8,13,1330,42930,,2.0
721,722,2019-09-21,2019-09-22,3,2854,13,1657,42958,,2.0
754,755,2015-06-09,2015-06-14,2,1088,13,1657,42800,,2.0
761,762,2015-10-15,2015-10-22,3,3360,13,1657,42814,,3.0
775,776,2018-10-01,2018-10-05,2,932,13,1657,42796,,2.0
782,783,2019-11-05,2019-11-10,2,1417,13,1657,42737,,1.0
818,819,2018-08-03,2018-08-08,3,191,13,1657,42878,,1.0
854,855,2017-07-26,2017-07-29,3,566,13,1657,42939,2915.0,
863,864,2019-01-09,2019-01-12,2,3090,13,1657,42905,456.0,
870,871,2019-06-17,2019-06-24,2,1213,13,1657,42905,,3.0
906,907,2019-09-24,2019-09-29,1,2532,13,1657,43009,,1.0
942,943,2020-01-30,2020-01-31,2,1828,13,1658,42887,498.0,
1003,1004,2018-12-01,2018-12-04,3,891,13,1658,42770,,3.0
1032,1033,2016-11-09,2016-11-12,3,453,13,1658,42845,,2.0
1039,1040,2017-07-11,2017-07-14,1,1111,13,1658,42858,,2.0
1091,1092,2017-12-02,2017-12-07,1,2700,13,1658,42931,,1.0
1164,1165,2018-07-28,2018-07-31,1,2861,13,1658,43028,942.0,
1243,1244,2016-06-24,2016-06-29,2,2611,1,1695,42769,3039.08,
1256,1257,2017-10-05,2017-10-10,1,2631,1,1695,42801,,2.0
1279,1280,2015-02-02,2015-02-07,1,1105,1,1695,42877,,3.0
1286,1287,2015-08-03,2015-08-07,3,675,1,1695,42873,,2.0
1321,1322,2020-05-21,2020-05-25,2,92,1,1695,42828,906.18,
1325,1326,2015-09-03,2015-09-04,1,2318,1,1695,42924,625.0,
1372,1373,2015-05-05,2015-05-10,2,920,1,1695,42975,215.0,
1542,1543,2019-07-10,2019-07-14,2,423,1,1285,42811,2559.92,
1566,1567,2017-04-22,2017-04-27,2,595,1,1285,42857,,2.0
1676,1677,2017-12-25,2017-12-29,1,572,1,1285,43012,,1.0
1734,1735,2020-01-20,2020-01-21,2,901,1,1285,42855,,2.0
1755,1756,2015-02-09,2015-02-12,3,564,1,1284,43012,,3.0
1759,1760,2015-12-29,2016-01-07,3,1813,1,1284,42774,,2.0
1765,1766,2019-11-05,2019-11-11,2,12,1,1284,42794,,3.0
1784,1785,2018-11-02,2018-11-05,2,1215,1,1284,43018,437.0,
1789,1790,2015-05-11,2015-05-13,3,1542,1,1284,42779,9555.04,
1816,1817,2018-10-19,2018-10-21,1,577,1,1284,42784,1748.78,
1824,1825,2020-04-15,2020-04-16,1,345,1,1284,42819,860.42,
1854,1855,2018-12-15,2018-12-19,3,3029,1,1284,42871,,2.0
